SABOR,UNIDADE,QUANTIDADE,DATA,DIA DA SEMANA
NINHO,ASA NORTE,28,01/04/2026,quarta-feira
NINHO,CONJ. NACIONAL,18,01/04/2026,quarta-feira
NINHO,LOJINHA,4,01/04/2026,quarta-feira
NINHO,SUDOESTE 1,19,01/04/2026,quarta-feira
NINHO,SUDOESTE 2,18,01/04/2026,quarta-feira
NINHO,GUARA,15,01/04/2026,quarta-feira
NINHO,JARDIM,6,01/04/2026,quarta-feira
NINHO,GILBERTO,7,01/04/2026,quarta-feira
NINHO,BAHAMAS,13,01/04/2026,quarta-feira
NINHO,CONTAINER,9,01/04/2026,quarta-feira
NINHO,POSTO,15,01/04/2026,quarta-feira
NINHO,ARNIQUEIRA,3,01/04/2026,quarta-feira
NINHO,EPNB,9,01/04/2026,quarta-feira
NINHO,GAMA,5,01/04/2026,quarta-feira
NINHO,RECANTO,10,01/04/2026,quarta-feira
NINHO,SAMAMBAIA,10,01/04/2026,quarta-feira
NINHO,SAMAMBAIA SUL,5,01/04/2026,quarta-feira
NINHO,PONTE ALTA,8,01/04/2026,quarta-feira
NINHO,ALAMEDA,4,01/04/2026,quarta-feira
NINHO,TAGUATINGA,13,01/04/2026,quarta-feira
NINHO,CEILANDIA,12,01/04/2026,quarta-feira
NINHO,VICENTE PIRES,9,01/04/2026,quarta-feira
CUCA DE BANANA,QUADRA 1,1,01/04/2026,quarta-feira
CUCA DE BANANA,CENTRAL,1,01/04/2026,quarta-feira
CUCA DE BANANA,NOROESTE,2,01/04/2026,quarta-feira
CUCA DE BANANA,ASA SUL,4,01/04/2026,quarta-feira
CUCA DE BANANA,ASA NORTE,7,01/04/2026,quarta-feira
CUCA DE BANANA,CONJ. NACIONAL,3,01/04/2026,quarta-feira
CUCA DE BANANA,LOJINHA,0,01/04/2026,quarta-feira
CUCA DE BANANA,SUDOESTE 1,3,01/04/2026,quarta-feira
CUCA DE BANANA,SUDOESTE 2,5,01/04/2026,quarta-feira
CUCA DE BANANA,GUARA,2,01/04/2026,quarta-feira
CUCA DE BANANA,JARDIM,2,01/04/2026,quarta-feira
CUCA DE BANANA,GILBERTO,1,01/04/2026,quarta-feira
CUCA DE BANANA,BAHAMAS,2,01/04/2026,quarta-feira
CUCA DE BANANA,CONTAINER,1,01/04/2026,quarta-feira
CUCA DE BANANA,POSTO,5,01/04/2026,quarta-feira
CUCA DE BANANA,ARNIQUEIRA,1,01/04/2026,quarta-feira
CUCA DE BANANA,EPNB,1,01/04/2026,quarta-feira
CUCA DE BANANA,GAMA,1,01/04/2026,quarta-feira
CUCA DE BANANA,RECANTO,1,01/04/2026,quarta-feira
CUCA DE BANANA,SAMAMBAIA,1,01/04/2026,quarta-feira
CUCA DE BANANA,SAMAMBAIA SUL,0,01/04/2026,quarta-feira
CUCA DE BANANA,PONTE ALTA,0,01/04/2026,quarta-feira
CUCA DE BANANA,ALAMEDA,1,01/04/2026,quarta-feira
CUCA DE BANANA,TAGUATINGA,2,01/04/2026,quarta-feira
CUCA DE BANANA,CEILANDIA,1,01/04/2026,quarta-feira
CUCA DE BANANA,VICENTE PIRES,1,01/04/2026,quarta-feira
TOALHA  G,QUADRA 1,0,01/04/2026,quarta-feira
TOALHA  G,CENTRAL,1,01/04/2026,quarta-feira
TOALHA  G,NOROESTE,2,01/04/2026,quarta-feira
TOALHA  G,ASA SUL,3,01/04/2026,quarta-feira
TOALHA  G,ASA NORTE,2,01/04/2026,quarta-feira
TOALHA  G,CONJ. NACIONAL,0,01/04/2026,quarta-feira
TOALHA  G,LOJINHA,0,01/04/2026,quarta-feira
TOALHA  G,SUDOESTE 1,2,01/04/2026,quarta-feira
TOALHA  G,SUDOESTE 2,1,01/04/2026,quarta-feira
TOALHA  G,GUARA,1,01/04/2026,quarta-feira
TOALHA  G,JARDIM,0,01/04/2026,quarta-feira
TOALHA  G,GILBERTO,0,01/04/2026,quarta-feira
TOALHA  G,BAHAMAS,4,01/04/2026,quarta-feira
TOALHA  G,CONTAINER,0,01/04/2026,quarta-feira
TOALHA  G,POSTO,6,01/04/2026,quarta-feira
TOALHA  G,ARNIQUEIRA,0,01/04/2026,quarta-feira
TOALHA  G,EPNB,1,01/04/2026,quarta-feira
TOALHA  G,GAMA,1,01/04/2026,quarta-feira
TOALHA  G,RECANTO,0,01/04/2026,quarta-feira
TOALHA  G,SAMAMBAIA,2,01/04/2026,quarta-feira
TOALHA  G,SAMAMBAIA SUL,1,01/04/2026,quarta-feira
TOALHA  G,PONTE ALTA,1,01/04/2026,quarta-feira
TOALHA  G,ALAMEDA,0,01/04/2026,quarta-feira
TOALHA  G,TAGUATINGA,2,01/04/2026,quarta-feira
TOALHA  G,CEILANDIA,2,01/04/2026,quarta-feira
TOALHA  G,VICENTE PIRES,0,01/04/2026,quarta-feira
